Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,38.34614849066017,38.13023376464844,1,99957.95,99395.1192011728,100000.0,1,Ensemble (RF + HGB),25
2022-01-04,1,38.34614959703938,38.30296325683594,1,99845.37787442154,99845.37787442154,99957.95,1,Ensemble (RF + HGB),25
2022-01-05,1,38.864335743555905,39.296165466308594,1,102434.38513335233,102434.38513335233,101180.31603623512,1,Ensemble (RF + HGB),25
2022-01-06,1,40.33254529234831,39.900718688964844,0,104010.29048972289,104010.29048972289,101180.31603623512,0,Ensemble (RF + HGB),25
2022-01-07,1,39.03706830444318,39.03706741333008,1,101758.98717960394,101758.98717960394,101180.31603623512,1,Ensemble (RF + HGB),25
2022-01-10,1,39.727988289892345,39.727989196777344,0,103560.03181647416,103560.03181647416,101138.04826792644,0,Ensemble (RF + HGB),25
2022-01-11,1,39.29616121439144,39.03706741333008,1,101758.98717960394,101758.98717960394,99911.62876106951,1,Ensemble (RF + HGB),25
2022-01-12,1,39.3825255689751,39.25297927856445,1,102321.81052116485,102321.81052116485,99911.62876106951,1,Ensemble (RF + HGB),25
2022-01-13,1,39.68481039167958,39.900718688964844,0,104010.29048972289,104010.29048972289,99911.62876106951,0,Ensemble (RF + HGB),25
2022-01-14,1,39.1666181560626,39.382530212402344,1,102659.5144699767,102659.5144699767,99869.5950655631,1,Ensemble (RF + HGB),25
2022-01-17,1,39.46889423073847,39.425716400146484,0,102772.08908216417,102772.08908216417,100512.64584637914,0,Ensemble (RF + HGB),25
2022-01-18,1,38.475693883017,38.51887512207031,1,100408.20121598245,100408.20121598245,100512.64584637914,1,Ensemble (RF + HGB),25
2022-01-19,1,38.77797742025681,38.86433792114258,0,101308.72850635521,101308.72850635521,100512.64584637914,0,Ensemble (RF + HGB),25
2022-01-20,1,38.432511922241765,38.82115936279297,0,101196.17378191832,101196.17378191832,100512.64584637914,0,Ensemble (RF + HGB),25
2022-01-21,1,37.65522391220744,37.65522384643555,0,98156.8979058635,98156.8979058635,100470.50126322047,0,Ensemble (RF + HGB),25
2022-01-24,0,36.273379889632274,36.402931213378906,1,94433.39066725883,94892.5125809349,96659.78533558754,0,Ensemble (RF + HGB),25
2022-01-25,0,36.4892954627934,36.834754943847656,1,94433.39066725883,96018.15926405673,96618.35160519312,0,Ensemble (RF + HGB),25
