,Strategy,Final Capital,Total Return %,CAGR %,Sharpe Ratio,Max Drawdown %,Calmar Ratio
0,Ensemble (RF + HGB) | Pruned feats | Full Costs | Expanding Retrain,"₹311,596",+211.60%,+33.67%,0.982,-34.87%,0.966
1,Buy & Hold (+ Full Costs),"₹394,878",+294.88%,+42.00%,1.096,-38.87%,1.081
2,Random Baseline (+ Full Costs),"₹140,832",+40.83%,+9.14%,0.437,-55.13%,0.166
