Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,12.79535581191895,12.747071266174316,0,99957.95,99580.74874977615,100000.0,0,Ensemble (RF + HGB),32
2022-01-04,1,12.747070289687686,12.747071266174316,1,99580.74874977615,99580.74874977615,99957.95,1,Ensemble (RF + HGB),32
2022-01-05,1,12.79535581191895,12.843639373779297,0,100335.14356407132,100335.14356407132,100209.18953456052,0,Ensemble (RF + HGB),32
2022-01-06,1,12.843639385228498,12.747071266174316,1,99580.74874977615,99580.74874977615,100209.18953456052,1,Ensemble (RF + HGB),32
2022-01-07,1,12.891923838347726,12.795354843139648,1,99957.94243184835,99957.94243184835,100209.18953456052,1,Ensemble (RF + HGB),32
2022-01-10,1,13.036776621011482,13.036776542663574,0,101843.9406428124,101843.9406428124,100167.10093909138,0,Ensemble (RF + HGB),32
2022-01-11,1,12.891924903408215,12.843639373779297,0,100335.14356407132,100335.14356407132,98928.07205780144,0,Ensemble (RF + HGB),32
2022-01-12,0,12.795354843139648,12.747071266174316,1,99830.9359404026,99580.74874977615,98928.07205780144,0,Ensemble (RF + HGB),32
2022-01-13,0,12.79535581191895,12.795354843139648,0,99830.9359404026,99957.94243184835,98928.07205780144,1,Ensemble (RF + HGB),32
2022-01-14,1,12.843639373779297,12.747071266174316,1,99788.9171327216,99580.74874977615,98886.21982850679,1,Ensemble (RF + HGB),32
2022-01-17,0,12.891924903408215,12.843639373779297,0,100036.85280342953,100335.14356407132,99131.69916914329,1,Ensemble (RF + HGB),32
2022-01-18,0,12.747071266174316,12.747071266174316,0,100036.85280342953,99580.74874977615,99131.69916914329,1,Ensemble (RF + HGB),32
2022-01-19,1,12.747070324036267,12.747071266174316,0,99994.7960040873,99580.74874977615,99131.69916914329,0,Ensemble (RF + HGB),32
2022-01-20,1,12.650501283981692,12.698785781860352,0,99616.02638704618,99203.54016740243,99131.69916914329,0,Ensemble (RF + HGB),32
2022-01-21,0,12.505648719204915,12.45736312866211,0,97975.8711557141,97317.53450628764,99089.80937064659,1,Ensemble (RF + HGB),32
2022-01-24,1,12.264226821524987,12.2159423828125,1,97934.19460748587,95431.54374547434,97052.74835405544,1,Ensemble (RF + HGB),32
2022-01-25,1,12.457363947342209,12.505648612976074,1,99862.03311296442,97694.74308866134,97011.24212198412,1,Ensemble (RF + HGB),32
2022-01-27,1,12.94020842035602,12.891923904418945,1,102946.57811647288,100712.34469629427,100395.36105683185,1,Ensemble (RF + HGB),32
2022-01-28,1,13.133345603942871,12.988492965698242,1,103717.7162712068,101466.74696074019,101147.3889035624,1,Ensemble (RF + HGB),32
2022-01-31,0,13.519620106832637,13.133345603942871,0,107823.67105598512,102598.34290725832,105151.00526380632,1,Ensemble (RF + HGB),32
2022-02-01,0,13.13334646804949,13.085061073303223,1,107823.67105598512,102221.14177503537,105108.00490333515,0,Ensemble (RF + HGB),32
2022-02-02,0,13.374767346962633,13.326483726501465,0,107823.67105598512,104107.14743615016,106905.7968798218,1,Ensemble (RF + HGB),32
2022-02-03,0,13.229914771458251,13.181629180908203,0,107823.67105598512,102975.53658933054,106862.47276029747,1,Ensemble (RF + HGB),32
2022-02-04,0,12.988492023222861,12.988492965698242,0,107823.67105598512,101466.74696074019,104912.42760978536,1,Ensemble (RF + HGB),32
2022-02-07,0,12.988492078965676,12.940207481384277,0,107823.67105598512,101089.53837836649,104522.40950752587,1,Ensemble (RF + HGB),32
2022-02-08,0,12.891923927317345,12.843639373779297,0,107823.67105598512,100335.14356407132,103742.39641245185,1,Ensemble (RF + HGB),32
2022-02-09,0,12.843639385228498,12.795354843139648,0,107823.67105598512,99957.94243184835,103352.38601334069,1,Ensemble (RF + HGB),32
2022-02-10,0,12.698786814647553,12.795354843139648,0,107823.67105598512,99957.94243184835,103352.38601334069,1,Ensemble (RF + HGB),32
