Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,36.09931988576717,35.92446517944336,1,99957.95,99473.78248528535,100000.0,1,Ensemble (RF + HGB),24
2022-01-04,1,36.108064271773415,36.11680603027344,1,100006.36861740833,100006.36861740833,99957.94999999998,1,Ensemble (RF + HGB),24
2022-01-05,1,36.53646435257225,36.89492416381836,1,102160.95473518287,102160.95473518287,101015.65653828546,1,Ensemble (RF + HGB),24
2022-01-06,1,37.28835104980487,37.15720748901367,0,102887.20951196727,102887.20951196727,101015.65653828546,0,Ensemble (RF + HGB),24
2022-01-07,1,37.297096774232564,37.12223434448242,1,102790.36990824455,102790.36990824455,101015.65653828546,1,Ensemble (RF + HGB),24
2022-01-10,0,37.98778322858893,38.41618347167969,1,105054.63318828799,106373.27680422524,100973.41914965415,0,Ensemble (RF + HGB),24
2022-01-11,1,38.95824196328206,38.71343994140625,1,105011.65060846477,107196.37118473237,103422.2212600241,1,Ensemble (RF + HGB),24
2022-01-12,1,38.92326790385431,38.94949722290039,1,104988.07922599613,107850.00682150874,103422.2212600241,1,Ensemble (RF + HGB),24
2022-01-13,1,39.32543998326027,39.40412521362305,1,106213.52558375508,109108.85829320012,103422.2212600241,1,Ensemble (RF + HGB),24
2022-01-14,1,39.79755444385459,39.806297302246094,1,107297.57744869201,110222.46092209141,103379.53986020164,1,Ensemble (RF + HGB),24
2022-01-17,0,39.93744210272203,39.815040588378906,0,107516.1122406723,110246.6708230221,103611.99495992046,1,Ensemble (RF + HGB),24
2022-01-18,1,38.87081124238491,39.01069641113281,1,107472.67551796389,108019.4655652395,103611.99495992046,1,Ensemble (RF + HGB),24
2022-01-19,1,40.07732666924714,39.937442779541016,1,110421.77128998647,110585.59887326762,103611.99495992046,1,Ensemble (RF + HGB),24
2022-01-20,1,39.32543931221575,39.94618225097656,0,110445.93477790378,110609.7982114143,103611.99495992046,0,Ensemble (RF + HGB),24
2022-01-21,1,37.69926216428499,37.69926452636719,0,104233.50308907934,104388.14943018145,103569.27854685036,0,Ensemble (RF + HGB),24
2022-01-24,1,36.10806423038153,36.49274826049805,1,100897.64445879922,101047.34154350757,99071.64065615484,1,Ensemble (RF + HGB),24
2022-01-25,1,38.11892014266553,38.71343994140625,1,107037.56458960031,107196.37118473237,99029.76193845377,1,Ensemble (RF + HGB),24
2022-01-27,1,42.359215472493005,42.10567092895508,0,116416.63666333379,116589.35854612433,109387.00657698433,0,Ensemble (RF + HGB),24
