,Strategy,Final Capital,Total Return %,CAGR %,Sharpe Ratio,Max Drawdown %,Calmar Ratio
0,Ensemble (RF + HGB) | Pruned feats | Full Costs | Expanding Retrain,"₹351,135",+251.14%,+37.81%,1.018,-38.82%,0.974
1,Buy & Hold (+ Full Costs),"₹351,929",+251.93%,+37.89%,1.001,-39.83%,0.951
2,Random Baseline (+ Full Costs),"₹101,484",+1.48%,+0.38%,0.167,-52.07%,0.007
